1,Pachelbel, Canon in D
2,Debussy, Clair de Lune
3,Mozart, Nachtmusik K525
4,Beethoven, Moonlight Sonata 1
5,Debussy, Maid with Flaxen Hair
6,Stravinsky, Rite of Spring
7,Grieg, Peer Gynt1
8,Bach, Cello Suite BWV1007 in G
9,StraussII, Blue Danube
10,Tchaikovsky, Dance of the Cygnets
11,Mozart, Alla Turca
12,StraussI, Radetzky March
13,Bach, Toccata and Fugue in D minor
14,Mozart, Symphony No.40 in G minor
15,Chopin,9.2
16,Chopin,9.1
17,Chopin, Waltz a minor posth
18,Brahms, Lullaby
19,Bach, Prelude in C
20,(Bach), Minuet
21,Vivaldi, Spring
22,Vivaldi, Winter
23,Saint_Saens, Swan
24,Chopin, Fantasie Impromptu
25,Rossini, William Tell Overture
26,Vivaldi, Summer
27,Schubert, Serenade
28,Chopin, Prelude 48.4
29,Mahler,Symphony 5 Adagietto
30,Cage,4'33
31,Chopin, Nocturne No.13
32,R_Strauss,Also Sprach Zarathustra
33,Tchaikovsky, Swan Lake
34,Verdi,La Traviata: Libiamo ne' lieti calici
35,Debussy, Reverie
36,Beethoven, Tempest sonata
37,Faure, Sicilienne
38,Bach, Goldberg Variations 1
39,Bach, Goldberg Variations 4
40,Beethoven, Pathetique Sonata
41,Satie, Gymnopedie
42,Dvorak, Symphony 9
43,Mozart, K448 1
44,Mozart, K448 2
45,Orff,O Fortuna
46,Bach, Air on G
47,Chopin, Ballade 1
48,Bizet, Carmen suite 2
49,Chopin, Prelude 4
50,Chopin, Etude 3
51,Chopin, Waltz 64.2
52,Puccini,Nessun Dorma
53,Mozart, Sonata K545
54,Mascagni,Cavalleria rusticana - Intermezzo
55,Bizet,Carmen Act1
56,Boccherini,Minuet
57,Puccini,O mio babbino caro
58,Rachmaninoff, Concerto 2
59,Bellini,Casta Diva
60,Mozart, Concerto 23
61,Beethoven, Symphony 5
62,Mozart, Requiem
63,Chopin, Nocturne in C-sharp minor
64,Chopin, Concerto 1.2
65,Beethoven, Fur Elise
66,Liszt, La Campanella
67,Liszt, Liebestraum
68,Paganini, La Campenella
69,Chopin, Waltz 69.2
70,Verdi,Requiem 1
71,Verdi,La Donna E Mobile (Rigoletto)
72,Bach,Brandenburg Concerto 3
73,Albinoni,Adagio
74,Handel,Hallelujah
75,Mozart,Marrage of Figaro Overture
76,Haydn,Surprise Symphony
77,Haydn,Emperor Quartet
78,Mozart,Clarinet Concerto
79,Verdi,Nabucco va pensiero
80,Verdi,Triumphal March Aida
81,Chopin,Heroic Polonaise
82,Joplin,Maple Leaf Rag
83,Liszt,Hungarian Rhapsody 2
84,Offenbach,Cancan
85,Bizet,Carmen Prelude
86,Massenet,Meditation
87,Ravel,Bolero
88,Elgar,Pomp and Circumstance
89,Elgar,Cello Concerto
90,Elgar,Nimrod
91,Elgar,Salute d'amour Op12
92,Schubert,D899-3
93,Schubert,Erlkonig
94,Schubert,Ave Maria
95,Brahms,Violin Concerto
96,Brahms,Hungarian Dance5
97,Grieg,Piano Concerto
98,Grieg,In the Hall of Mountain King
99,Chopin,Ballade 4
100,Chopin,Etude 10.4
101,Mozart,Concerto 21- Andante
102,Chopin,Concerto 2
103,Mozart,Magic flute queen of night aria
104,Shostakovich,Gadfly
105,Saint_Saens,Danse Macabre
106,Saint_Saens,Introduction and Rondo
107,Schumann,Piano Concerto
108,Mendelssohn,Violin Concerto
109,Grieg,Solveig's Song
110,Brahms,Symphony 3
111,Schubert,Trio Op.100
112,Schubert,Fantasie in F Minor
113,Chopin,Etude 25 11
114,Chopin,Minute Waltz
115,Chopin,Funeral March
116,Chopin,Etude 10 12
117,Chopin,Grand Valse Brilliante 1
118,Chopin,Etude 25 5
119,Chopin,Raindrop Prelude
120,Chopin,Etude 10 1
121,Shostakovich,Waltz 2
122,Shostakovich,Piano Concerto 2
123,Shostakovich,Symphony 7
124,Mendelssohn,Wedding March
125,Satie,Je Te Veux
126,Satie,Gnossiennes 1
127,Mozart,"12 Variation ""Star"""
128,Mozart,Concerto 20
129,Mozart,Symphony 25
130,Mozart,Fantasia in d minor
131,Liszt,Paganini Etude 6
132,Liszt,Un Sospiro
133,Liszt,Hungarian Rhapsody 6
134,Liszt,Mephisto Waltz
135,Liszt,Consolation 3
136,Haydn,Trumpet Concerto
137,Stravinsky,Firebird
138,Ravel,Pavane for dead Princess
139,Ravel,Miroirs III
140,Debussy,Arabesque 1
141,Debussy,La Mer
142,Rachmaninoff,Prelude 3.2
143,Rachmaninoff,Piano Concerto 3
144,Rachmaninoff,Prelude in g minor
145,Rachmaninoff,Liebesleid
146,Rachmaninoff,Rhapsody on a theme of Paganini
147,Rachmaninoff,Little red Riding Hood
148,Rachmaninoff,Symphony 2 Adagio
149,Rachmaninoff,Italian Polkka
150,Rachmaninoff,Moment Musicaux
151,Rachmaninoff,Vocalise
152,Prokofiev,Dance of the Knights
153,Balakirev,The Lark
154,Vivaldi,La Stravaganza RV279
155,Vivaldi,La Follia RV63
156,Vivaldi,RV522
157,Vivaldi,RV580
158,Vivaldi,RV356
159,Vivaldi,"Cantate ""Cessate, omai cessate"" II"
160,Vivaldi,RV278
161,Vivaldi,Aria RV717 Anastasio
162,Vivaldi,RV532
163,Vivaldi,RV589
164,Vivaldi,RV281
165,Vivaldi,Autumn
166,Bach,BWV974
167,Bach,BWV578
168,Bach,BWV1052
169,Bach,BWV147
170,Bach,BWV997
171,Bach,BWV999
172,Bach,BWV1008
173,Bach,BWV232
174,Bach,BWV1002
175,Handel,Sarabande
176,Handel,Passacaglia
177,Handel,Arrival of queen Sheba
178,Paganini,Caprice 5
179,Handel,Zadok the Priest HWV258
180,Handel,Water Music
181,Handel,Lascia Chio pianga
182,Handel,Sound the Trumpet HWV74-I
183,Handel,Largo from Xerxes
184,Handel,Ombra mai fu
185,Rameau,Rondeau des Indes Galantes
186,Clementi,Sonata 36.1
187,Wagner,Ride of Valkyries
188,Wagner,Tannhauser Overture
189,Wagner,Tristan and Isolde
190,Wagner,Faust HWV59
191,Wagner,Entry of the gods to Valhalla
192,Schoenberg,Op4
193,Holst,Jupiter
194,Holst,Mars
195,Vaughan-Williams,The Lark ascending
196,Gershwin,Rhapsody in blue
197,Gershwin,Summertime
198,Khachaturian,Sabre Dance
199,Khachaturian,Masquerade Suite Waltz
200,Smetana,Moldau
201,Beethoven,Symphony 9
202,Beethoven,Moonlight Sonata 3
203,Beethoven,Symphony 7
204,Beethoven,Symphony 6
205,Beethoven,Violin Concerto
206,Beethoven,Turkish March
207,Beethoven,Waldstein Sonata
208,Beethoven,Emperor Piano Concerto
209,Beethoven,Triple Concerto 56.2
210,Beethoven,Appassionata Sonata
211,Beethoven,Symphony 3
212,Mussorgsky,Night on a Bald Mountain
213,Tchaikovsky,1812 Overture
214,Tchaikovsky,Waltz of the Flowers
215,Tchaikovsky,Dance of sugar plum fairy
216,Tchaikovsky,Nutcracker Pas de Deux
217,Tchaikovsky,Valse Sentimentale
218,Tchaikovsky,Marche Slave
219,Tchaikovsky,Swan Lake Waltz
220,Tchaikovsky,Piano Concerto 1
221,Paganini,Caprice 24
222,Tchaikovsky,Op.45 Italian Caprice
223,Tchaikovsky,Sleeping Beauty Waltz
224,Tchaikovsky,Waltz of Snowflakes
225,Tchaikovsky,Nutcracker Russian Dance Trepak
226,Tartini,Violin Sonata in G minor
227,Tchaikovsky,Violin Concerto
228,Dvorak,Cello Concerto
229,Dvorak,Requiem
230,Dvorak,Romance Op.11
231,Joplin,The Entertainer
232,Mahler,Symphony 2
233,Rimsky_Korsakov,Flight of Bumblebees
234,Rimsky_Korsakov,Op.35 Scheherezade
235,Faure,Pavane Op.50
236,Faure,Requiem Op.48
237,Faure,Op.11
238,Alb¨¦niz,Asturias
239,Sibelius,Finlandia
240,Sibelius,Violin Concerto
241,Delibes,The Flower Duet
242,Delibes,Waltz of the Hours
243,Rossini,The Barbers of Seville Overture
244,Rossini,La gazza ladra
245,Rossini,Largo al factotum
